,Task_ID_x,Task,Job_Title,Function,Answer_17,Answer_18,Answer_19,Answer_20,Answer_21,EPOCH_ml,avg_epoch
6771,357,design and create or requisition special supplies and equipment such as splints braces and computeraided adaptive equipment,Occupational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6772,352,recommend changes in patients work or living environments consistent with their needs and capabilities,Occupational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6773,355,develop and participate in health promotion programs group activities or discussions to promote client health facilitate social adjustment alleviate stress and prevent physical or mental disability,Occupational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6774,356,provide training and supervision in therapy techniques and objectives for students or nurses and other medical staff,Occupational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6775,354,help clients improve decision making abstract reasoning memory sequencing coordination and perceptual skills using computer programs,Occupational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6776,361,conduct research in occupational therapy,Occupational Therapists,Healthcare Practitioners and Technical Occupations,3,3,4,4,4,-0.6628602245631109,3.6
6777,360,advise on health risks in the workplace or on healthrelated transition to retirement,Occupational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6778,362,provide patients with assistance in locating or holding jobs,Occupational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6779,363,plan prepare or carry out individually designed programs of physical treatment to maintain improve or restore physical functioning alleviate pain or prevent physical dysfunction in patients,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6780,364,perform and document an initial exam evaluating data to identify problems and determine a diagnosis prior to intervention,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6782,367,instruct patient and family in treatment procedures to be continued at home,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6783,365,evaluate effects of treatment at various stages and adjust treatments to achieve maximum benefit,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6784,368,confer with the patient medical practitioners or appropriate others to plan implement or assess the intervention program,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6785,366,administer manual exercises massage or traction to help relieve pain increase patient strength or decrease or prevent deformity or crippling,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6786,371,obtain patients informed consent to proposed interventions,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,2,3,-1.0614636921287175,3.4
6787,373,test and measure patients strength motor development and function sensory perception functional capacity or respiratory or circulatory efficiency and record data,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6788,377,direct supervise assess and communicate with supportive personnel,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6790,374,identify and document goals anticipated progress and plans for reevaluation,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6791,375,provide information to the patient about the proposed intervention its material risks and expected benefits and any reasonable alternatives,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6792,381,provide educational information about physical therapy or physical therapists injury prevention ergonomics or ways to promote health,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6794,372,discharge patient from physical therapy when goals or projected outcomes have been attained and provide for appropriate followup care or referrals,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6795,378,administer treatment involving application of physical agents using equipment moist packs ultraviolet or infrared lamps or ultrasound machines,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6796,382,refer clients to community resources or services,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
6797,385,construct maintain or repair medical supportive devices,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6798,380,evaluate fit or adjust prosthetic or orthotic devices or recommend modification to orthotist,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6799,379,teach physical therapy students or those in other health professions,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6801,384,participate in community or community agency activities or help to formulate public policy,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6802,386,direct group rehabilitation activities,Physical Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6817,4101,act as liaison with physicist and supportive care personnel,Radiation Therapists,Healthcare Practitioners and Technical Occupations,4,4,3,3,3,-0.9519914093725937,3.4
6820,4100,train or supervise student or subordinate radiotherapy technologists,Radiation Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6821,393,instruct patient in activities and techniques such as sports dance music art or relaxation techniques designed to meet their specific physical or psychological needs,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6822,392,conduct therapy sessions to improve patients mental and physical wellbeing,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6823,395,plan organize direct and participate in treatment programs and activities to facilitate patients rehabilitation help them integrate into the community and prevent further medical problems,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6824,387,observe analyze and record patients participation reactions and progress during treatment sessions modifying treatment programs as needed,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6825,388,develop treatment plan to meet needs of patient based on needs assessment patient interests and objectives of therapy,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6826,394,obtain information from medical records medical staff family members and the patients themselves to assess patients capabilities needs and interests,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
6827,391,confer with members of treatment team to plan and evaluate therapy programs,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6828,390,counsel and encourage patients to develop leisure activities,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6829,389,encourage clients with special needs and circumstances to acquire new skills and get involved in healthpromoting leisure activities such as sports games arts and crafts and gardening,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6831,20893,develop discharge plans for patients,Recreational Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6835,18522,work as part of a team of physicians nurses or other healthcare professionals to manage patient care by assisting with medical procedures or related duties,Respiratory Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6840,407,explain treatment procedures to patients to gain cooperation and allay fears,Respiratory Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6841,414,make emergency visits to resolve equipment problems,Respiratory Therapists,Healthcare Practitioners and Technical Occupations,3,4,4,3,3,-0.7821969764111386,3.4
6844,406,educate patients and their families about their conditions and teach appropriate disease management techniques such as breathing exercises or the use of medications or respiratory equipment,Respiratory Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6848,411,demonstrate respiratory care procedures to trainees or other healthcare personnel,Respiratory Therapists,Healthcare Practitioners and Technical Occupations,4,4,3,3,3,-0.9519914093725937,3.4
6851,412,teach train supervise or use the assistance of students respiratory therapy technicians or assistants,Respiratory Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6852,20410,perform endotracheal intubation to maintain open airways for patients who are unable to breathe on their own,Respiratory Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
6854,18523,evaluate hearing or speech and language test results barium swallow results or medical or background information to diagnose and plan treatment for speech language fluency voice or swallowing disorders,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,3,4,4,3,-0.9087968988880399,3.6
6856,1867,monitor patients progress and adjust treatments accordingly,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6857,1871,develop or implement treatment plans for problems such as stuttering delayed language swallowing disorders or inappropriate pitch or harsh voice problems based on own assessments and recommendations of physicians psychologists or social workers,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6858,1869,administer hearing or speech and language evaluations tests or examinations to patients to collect information on type and degree of impairments using written or oral tests or special instruments,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6859,18528,educate patients and family members about various topics such as communication techniques or strategies to cope with or to avoid personal misunderstandings,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6860,18530,supervise or collaborate with therapy team,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6861,18526,participate in and write reports for meetings regarding patients progress such as individualized educational planning iep meetings inservice meetings or intervention assistance team meetings,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6862,1874,teach clients to control or strengthen tongue jaw face muscles or breathing mechanisms,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6863,1873,instruct clients in techniques for more effective communication such as sign language lip reading or voice improvement,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6864,1876,consult with and advise educators or medical staff on speech or hearing topics such as communication strategies or speech and language stimulation,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6865,1875,develop speech exercise programs to reduce disabilities,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6867,18531,consult with and refer clients to additional medical or educational services,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6868,1878,design develop or employ alternative diagnostic or communication devices or strategies,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6870,1884,use computer applications to identify or assist with communication disabilities,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6871,18525,develop individual or group activities or programs in schools to deal with behavior speech language or swallowing problems,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6872,1879,conduct lessons or direct educational or therapeutic games to assist teachers dealing with speech problems,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6873,1883,provide communication instruction to dialect speakers or students with limited english proficiency,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6874,23952,supervise students or assistants,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6875,1882,communicate with students who use an alternative method of communications using sign language or computer technology,Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6877,19151,observe and document client reactions progress or other outcomes related to art therapy,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,2,3,-1.0614636921287175,3.4
6878,19146,design art therapy sessions or programs to meet clients goals or objectives,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6879,19143,conduct art therapy sessions providing guided selfexpression experiences to help clients recover from or cope with cognitive emotional or physical impairments,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6880,19144,confer with other professionals on clients treatment team to develop coordinate or integrate treatment plans,Art Therapists,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
6881,19141,assess client needs or disorders using drawing painting sculpting or other artistic processes,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6882,19153,talk with clients during art or other therapy sessions to build rapport acknowledge their progress or reflect upon their reactions to the artistic process,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6883,19147,develop individualized treatment plans that incorporate studio art therapy counseling or psychotherapy techniques,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6885,19161,select or prepare artistic media or related equipment or devices to accomplish therapy session objectives,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6886,19140,analyze or synthesize client data to draw conclusions or make recommendations for art therapy,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6887,19150,interpret the artistic creations of clients to assess their functioning needs or progress,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6888,19145,customize art therapy programs for specific client populations such as those in schools nursing homes wellness centers prisons shelters or hospitals,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6889,19142,communicate client assessment findings and recommendations in oral written audio video or other forms,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6890,19148,establish goals or objectives for art therapy sessions in consultation with clients or site administrators,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6892,19162,supervise staff volunteers practicum students or interns,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6893,19158,gather client information from sources such as case documentation client observation or interviews of client or family members,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6894,19149,instruct individuals or groups in the use of art media such as paint clay or yarn,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6897,19155,conduct information sharing sessions such as inservice workshops for other professionals potential client groups or the general community,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,3,3,3,-0.9519914093725937,3.4
6898,19163,teach art therapy techniques or processes to artists interns volunteers or others,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
6900,19156,coordinate art showcases to display artwork produced by clients,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,3,4,3,-0.9862557190295783,3.6
6901,19157,coordinate field trips for client groups to museums or other public displays of art,Art Therapists,Healthcare Practitioners and Technical Occupations,4,4,3,3,3,-0.9519914093725937,3.4
6902,4107,treat sick or injured animals by prescribing medication setting bones dressing wounds or performing surgery,Veterinarians,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6904,4106,examine animals to detect and determine the nature of diseases or injuries,Veterinarians,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6907,4112,educate the public about diseases that can be spread from animals to humans,Veterinarians,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
6908,20412,counsel clients about the deaths of their pets or about euthanasia decisions for their pets,Veterinarians,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6909,18532,advise animal owners regarding sanitary measures feeding general care medical conditions or treatment options,Veterinarians,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6912,4113,train or supervise workers who handle or care for animals,Veterinarians,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6914,4123,plan or execute animal nutrition or reproduction programs,Veterinarians,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6916,4121,specialize in a particular type of treatment such as dentistry pathology nutrition surgery microbiology or internal medicine,Veterinarians,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6917,4119,direct the overall operations of animal hospitals clinics or mobile services to farms,Veterinarians,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6921,4114,provide care to a wide range of animals or specialize in a particular species such as horses or exotic birds,Veterinarians,Healthcare Practitioners and Technical Occupations,4,4,4,4,3,-1.1299923114426866,3.8
6922,4126,determine the effects of drug therapies antibiotics or new surgical techniques by testing them on animals,Veterinarians,Healthcare Practitioners and Technical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
6927,1855,provide health care first aid immunizations or assistance in convalescence or rehabilitation in locations such as schools hospitals or industry,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6928,1843,consult and coordinate with healthcare team members to assess plan implement or evaluate patient care plans,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6929,1846,direct or supervise lessskilled nursing or healthcare personnel or supervise a particular unit,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6930,1845,monitor all aspects of patient care including diet and physical activity,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6931,1850,instruct individuals families or other groups on topics such as health education disease prevention or childbirth and develop health improvement programs,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6932,1842,modify patient treatment plans as indicated by patients responses and conditions,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6935,1849,assess the needs of individuals families or communities including assessment of individuals home or work environments to identify potential health or safety problems,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6936,1865,work with individuals groups or families to plan or implement programs designed to improve the overall health of communities,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6938,1861,perform administrative or managerial functions such as taking responsibility for a units staff budget planning or longrange goals,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6939,1844,order interpret and evaluate diagnostic tests to identify and assess patients condition,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6940,1859,prescribe or recommend drugs medical devices or other forms of treatment such as physical therapy inhalation therapy or related therapeutic procedures,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6941,1860,direct or coordinate infection control programs advising or consulting with specified personnel about necessary precautions,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6944,1862,provide or arrange for training or instruction of auxiliary personnel or students,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6946,1856,perform physical examinations make tentative diagnoses and treat patients en route to hospitals or at disaster site triage centers,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6947,1864,consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing,Registered Nurses,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
6949,1866,engage in research activities related to nursing,Registered Nurses,Healthcare Practitioners and Technical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
6950,18302,perform emergency medical procedures such as basic cardiac life support bls advanced cardiac life support acls and other conditionstabilizing interventions,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6951,18300,manage patients pain relief and sedation by providing pharmacologic and nonpharmacologic interventions monitoring patients responses and changing care plans accordingly,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6953,18298,diagnose acute or chronic conditions that could result in rapid physiological deterioration or lifethreatening instability,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
6955,18303,assess urgent and emergent health conditions using both physiologically and technologically derived data,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6956,18305,assess the impact of illnesses or injuries on patients health function growth development nutrition sleep rest quality of life or family social and educational relationships,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
6959,18319,collaborate with patients to plan for future health care needs or to coordinate transitions and referrals,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6960,18315,refer patients for specialty consultations or treatments,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6961,18310,set up operate or monitor invasive equipment and devices such as colostomy or tracheotomy equipment mechanical ventilators catheters gastrointestinal tubes and central lines,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6962,18307,discuss illnesses and treatments with patients and family members,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6963,18299,distinguish between normal and abnormal developmental and agerelated physiological and behavioral changes in acute critical and chronic illness,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6964,18306,collaborate with members of multidisciplinary health care teams to plan manage or assess patient treatments,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6965,18318,assess the needs of patients family members or caregivers,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6967,18324,provide formal and informal education to other staff members,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6968,18321,read current literature talk with colleagues and participate in professional organizations or conferences to keep abreast of developments in acute care,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
6970,18313,participate in patients care meetings and conferences,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6971,18322,participate in the development of practice protocols,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
6972,18304,adjust settings on patients assistive devices such as temporary pacemakers,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
6973,18312,order perform or interpret the results of diagnostic tests and screening procedures based on assessment results differential diagnoses and knowledge about age gender and health status of clients,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
6974,18297,analyze the indications contraindications risk complications and costbenefit tradeoffs of therapeutic interventions,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
6975,18317,assist patients in organizing their health care system activities,Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
6976,18327,evaluate patients vital signs or laboratory data to determine emergency intervention needs,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6977,18334,monitor patients for changes in status and indications of conditions such as sepsis or shock and institute appropriate interventions,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6980,18344,prioritize nursing care for assigned critically ill patients based on assessment data or identified needs,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6983,18335,assess patients pain levels or sedation requirements,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,2,-1.0281336507360677,3.4
6984,18337,collaborate with other health care professionals to develop and revise treatment plans based on identified needs and assessment data,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6989,18331,advocate for patients and families needs or provide emotional support for patients and their families,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6990,18348,assess family adaptation levels and coping skills to determine whether intervention is needed,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6991,18328,perform approved therapeutic or diagnostic procedures based upon patients clinical status,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6993,18353,supervise and monitor unit nursing staff,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
6996,18343,identify patients at risk of complications due to nutritional status,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6997,18336,assess patients psychosocial status and needs including areas such as sleep patterns anxiety grief anger and support systems,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
6998,18325,identify patients agespecific needs and alter care plans as necessary to meet those needs,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7001,18349,coordinate patient care conferences,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7003,18352,plan provide or evaluate educational programs for nursing staff interdisciplinary health care team members or community members,Critical Care Nurses,Healthcare Practitioners and Technical Occupations,4,4,4,4,4,-1.197586662492321,4.0
7005,18002,evaluate the quality and effectiveness of nursing practice or organizational systems,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
7006,18006,collaborate with other health care professionals and service providers to ensure optimal patient care,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7008,18007,develop nursing service philosophies goals policies priorities or procedures,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,3,3,4,3,4,-0.6285959149061263,3.4
7009,18014,direct or supervise nursing care staff in the provision of patient therapy,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
7011,18013,instruct nursing staff in areas such as the assessment development implementation and evaluation of disability illness management technology or resources,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
7012,21188,provide coaching and mentoring to other caregivers to help facilitate their professional growth and development,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,4,-1.1633223528353365,3.8
7013,20414,provide consultation to other health care providers in areas such as patient discharge patient care or clinical procedures,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
7014,18008,develop implement or evaluate standards of nursing practice in specialty area such as pediatrics acute care and geriatrics,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
7016,18010,make clinical recommendations to physicians other health care providers insurance companies patients or health care organizations,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
7017,18009,develop or assist others in development of care and treatment plans,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
7018,18011,plan evaluate or modify treatment programs based on information gathered by observing and interviewing patients or by analyzing patient records,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
7019,18004,provide specialized direct and indirect care to inpatients and outpatients within a designated specialty such as obstetrics neurology oncology or neonatal care,Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,4,4,4,3,3,-1.095728001785702,3.6
